Datum;PnL
31.03.2011;-5427804,57
05.04.2011;8721791,45
07.04.2011;-3784068,6
08.04.2011;4823553,72
11.04.2011;-3835272,87
12.04.2011;-11000,99
13.04.2011;967338,48
14.04.2011;1411423,22
15.04.2011;-5472240,58
18.04.2011;-745995,83
19.04.2011;4144733,53
20.04.2011;1537992,97
21.04.2011;1223432,35
22.04.2011;3900677,61
25.04.2011;2062997,79
26.04.2011;-3525549,71
27.04.2011;-3489612,92
28.04.2011;7090064,67
29.04.2011;1492593,94
02.05.2011;2271236,35
03.05.2011;3049878,75
04.05.2011;-4907631,96
05.05.2011;3356329,98
06.05.2011;-8529131,11
09.05.2011;10647196,49
10.05.2011;3305127,65
11.05.2011;-3582013,52
12.05.2011;1917202,19
13.05.2011;1699832,64
19.05.2011;1741566,17
20.05.2011;-7684955,12
25.05.2011;-10836276,88
26.05.2011;-747021,85
27.05.2011;2146897,01
30.05.2011;-699150,9
31.05.2011;-263780,31
01.06.2011;-6526667,76
02.06.2011;-3576890,95
03.06.2011;332073,15
06.06.2011;-709888,06
07.06.2011;-2590529,27
08.06.2011;2774194,04
09.06.2011;-3637376,25
10.06.2011;1515136,85
13.06.2011;-2969307,42
14.06.2011;-3847683,6
15.06.2011;-345176,52
16.06.2011;1194313,04
17.06.2011;-75663,65
20.06.2011;2467810,5
21.06.2011;-3737117,12
22.06.2011;-863660,15
23.06.2011;-1471099,21
24.06.2011;3035632,83
27.06.2011;-790773,07
28.06.2011;989898,65
29.06.2011;1870961,17
30.06.2011;-2874017,39
01.07.2011;-359692,09
04.07.2011;-1123548,74
05.07.2011;469390,32
06.07.2011;-772600,66
07.07.2011;715638,33
08.07.2011;-5923960,48
11.07.2011;1722700,38
12.07.2011;2272745,65
13.07.2011;3394552,66
14.07.2011;-813924,97
15.07.2011;2402961,87
18.07.2011;3115279,3
19.07.2011;1301311,91
20.07.2011;348380,32
21.07.2011;-375226,62
22.07.2011;1250171,97
25.07.2011;7199230,15
26.07.2011;707573,94
27.07.2011;-5052052,33
28.07.2011;5877011,7
29.07.2011;-32480,43
01.08.2011;1893391,48
02.08.2011;1893874,51
03.08.2011;2635200,69
04.08.2011;-72366,23
05.08.2011;1826327,78
08.08.2011;1956951,21
09.08.2011;-159738,53
10.08.2011;-1718788,06
11.08.2011;-1961119,03
12.08.2011;-1830214,88
15.08.2011;-338875,24
16.08.2011;1673957,64
17.08.2011;2779292,59
18.08.2011;498395,45
19.08.2011;-5327785,9
22.08.2011;3203826,52
23.08.2011;-1238848,92
24.08.2011;-2973632,68
25.08.2011;1478636,87
26.08.2011;1370584,92
29.08.2011;-438465,83
30.08.2011;-1879414,29
31.08.2011;871893,71
01.09.2011;2210077,24
02.09.2011;4771909,38
05.09.2011;-3288505,66
06.09.2011;1463573,97
07.09.2011;-2278987,84
08.09.2011;554757,15
09.09.2011;2567918,5
12.09.2011;4311843,32
13.09.2011;-1206556,03
14.09.2011;-70701,55
15.09.2011;2340884,94
16.09.2011;-2037042,47
19.09.2011;2431409,75
20.09.2011;3206010,56
21.09.2011;-4129154,25
22.09.2011;-2173637,35
23.09.2011;6117728,03
26.09.2011;-308653,42
28.09.2011;-1462989,32
29.09.2011;-594329,21
30.09.2011;-2197639,55
03.10.2011;1167680,25
04.10.2011;2277965,56
05.10.2011;-3903779,37
06.10.2011;5032798,03
07.10.2011;-6151401,44
10.10.2011;2870643,43
11.10.2011;-4691353,41
12.10.2011;4882881,58
13.10.2011;2860833,8
14.10.2011;3283979,33
17.10.2011;4222040,22
18.10.2011;1638557,79
19.10.2011;-4617115,99
20.10.2011;-506025,2
21.10.2011;-1903874,76
24.10.2011;949273,72
25.10.2011;2927988,85
26.10.2011;2052715,52
27.10.2011;412573,72
28.10.2011;-175963,72
31.10.2011;1424051,75
01.11.2011;35837,28
02.11.2011;480066,38
03.11.2011;-5419255,17
04.11.2011;2709853,47
07.11.2011;3182381,58
08.11.2011;1594819,95
09.11.2011;7552511,84
10.11.2011;-6611471,88
11.11.2011;-1706623,63
14.11.2011;5655915,18
15.11.2011;4390313,38
16.11.2011;-7312947,41
17.11.2011;4543851,31
18.11.2011;-7757101,57
22.11.2011;-7938717,57
23.11.2011;2363760,49
24.11.2011;3354091,05
25.11.2011;-4200612,89
28.11.2011;2309333,43
29.11.2011;-13512284,82
30.11.2011;8042431,63
01.12.2011;7252536,46
02.12.2011;3119280,16
05.12.2011;609573,34
06.12.2011;-3699920,29
07.12.2011;2169018,51
08.12.2011;-2624743,82
09.12.2011;-1829821,24
12.12.2011;9252554,28
13.12.2011;-7357361,57
14.12.2011;1530409,72
15.12.2011;4546578,47
16.12.2011;-7010,38
19.12.2011;-4539520,32
20.12.2011;2819485,38
21.12.2011;-802543,77
22.12.2011;1380149,55
26.12.2011;891202,64
27.12.2011;-3016693,43
28.12.2011;-2867773,94
30.12.2011;1358788,91
02.01.2012;-1147744,69
03.01.2012;-209547,78
04.01.2012;-1807251,39
05.01.2012;1997877,79
06.01.2012;-74675,33
09.01.2012;-3152985,24
10.01.2012;-816350,92
11.01.2012;6140473,07
12.01.2012;3542547,87
13.01.2012;-4312965,28
16.01.2012;832126,3
17.01.2012;424283,42
18.01.2012;3003502,1
19.01.2012;-771659,96
20.01.2012;-1110568,84
23.01.2012;1930219,45
24.01.2012;-1197899,34
25.01.2012;699667,09
26.01.2012;1661561,09
27.01.2012;221474,01
30.01.2012;-2027512,51
31.01.2012;568254,29
01.02.2012;-456442,85
02.02.2012;-38617,63
03.02.2012;7404383,03
06.02.2012;-455661,6
07.02.2012;-2072142,99
08.02.2012;-271465
09.02.2012;219074,94
10.02.2012;-1169888,98
13.02.2012;631721,34
14.02.2012;858943,72
15.02.2012;1583898,61
16.02.2012;-1541986,58
17.02.2012;1761911,15
20.02.2012;5078326,19
21.02.2012;1362087,59
22.02.2012;-3511598,94
23.02.2012;-528893,52
24.02.2012;-455224
27.02.2012;726486,94
28.02.2012;-760992,87
29.02.2012;449882
05.03.2012;1247019,62
06.03.2012;-26952,14
07.03.2012;1240417,49
08.03.2012;1136747,34
09.03.2012;575744,26
12.03.2012;894082,82
13.03.2012;-277330,41
14.03.2012;3682515,31
15.03.2012;107786,08
16.03.2012;1257716,94
19.03.2012;1814078,67
20.03.2012;-190729,55
21.03.2012;-1591319,56
22.03.2012;-459686,77
23.03.2012;863906,56
26.03.2012;624545,09
27.03.2012;-1325701,97
28.03.2012;1724602,11
29.03.2012;-2031661,69
